id,score,at,content_raw,content_clean,manual_group,notes
rev_4a5023ae-99ec-4442-812a-557b0f9d6da2,1,2026-01-29T22:26:34,"This app used to be great prior to like 6 months ago. Now, it stops 1 min after starting a soundscape even when the app is set to allow background activity, SUPER SLOW to open and load anything, buffers constantly even with good internet connection, and will crash in the middle of trying to navigate the app. I've been a customer since 2019 and I'm actually thinking of canceling my subscription and moving to a different app because it irritating me so much.",app use great prior like month ago stop min start soundscap app set allow background activ super slow open load buffer constantli good internet connect crash middl tri navig app ve custom thousand nineteen m actual think cancel subscript move differ app irrit,,
rev_15f2c6c5-0c45-4b03-b21b-4e532ebab8d6,2,2026-01-17T05:26:47,"Too costly just for a meditation app - can't believe how a guy who use to be a monk really try to monetize the supposed to be free practice like meditation this badly, viewers should def switch to the Medito app instead.",costli just medit app t believ guy use monk realli tri monet suppos free practic like medit badli viewer def switch medito app instead,,
rev_03fdba61-3d47-494f-b801-efec20f22e39,1,2026-01-27T08:16:43,"doesn't work. full of bugs. you use the app for stress relief and then it doesn't work, it only makes you more stressed. unlucky they aren't even trying to solve anything",doesn t work bug use app stress relief doesn t work make stress unlucki aren t tri solv,,
rev_a60c457b-a794-4e57-bb37-bd4f37947e9a,2,2026-02-22T16:31:44,Where has the run streak gone? Just a silly greyed out bit of nonsense in its place. App now working again after a fortnight of ridiculous glitches. I had to allow it access to my first born to get it to quit stopping in the middle of sessions. Stupidly annoying and an afront to my battery life and privacy. Sort it out please developers!,run streak gone just silli grey bit nonsens place app work fortnight ridicul glitch allow access born quit stop middl session stupidli annoy afront batteri life privaci sort develop,,
rev_0357ac5b-2e92-4111-98cc-ab419c64369a,1,2025-10-23T02:19:18,pathetic service. i renewed my membership around 3 weeks ago yet it's not working and asks me to renew subscription. wrote to helpline several times but no response at all. I will not waste my time and money after this. better apps are available and I advise everyone to avoid this app,pathet servic renew membership week ago s work ask renew subscript wrote helplin time respons wast time money better app avail advis avoid app,,
rev_9306c6c5-cbfb-44db-880c-6caf1ea15cdd,1,2025-10-13T18:01:41,was great until last night when the app wouldn't load. please fix it. I have terminal brain cancer. Headspace helps calm me when I have a panic attack. FIX IT PLEASE,great night app wouldn t load fix termin brain cancer headspac help calm panic attack fix,,
rev_25910c51-8dec-4d36-b02f-001af57b82b1,3,2026-01-14T04:14:11,"While i'd love to give this app a higher rating, I think there is a fundamental issue in it not detecting internet when all other apps are detecting Internet and working well. I have no clue how their service is so poor but maybe it's their servers or the Bandwidth they have!",d love app higher rate think fundament issu detect internet app detect internet work clue servic poor mayb s server bandwidth,,
rev_bf7f3350-9f1f-45d8-ad56-3774ce48c445,1,2026-03-10T14:18:03,App crashing frequently. Please fix the issue as soon as possible. Thank you,app crash frequent fix issu soon possibl thank,,
rev_0d8b60b7-8a54-44fb-9224-d38b3a2def30,1,2026-01-12T04:29:49,"useless, have to pay to use anything. RONT DOWNLOAD",useless pay use ront download,,
rev_5cfe703c-461c-46c7-bfb8-0b02cc5f837d,4,2025-12-29T01:16:00,"Needs a watch app, say play the sleep music and things like that.",need watch app say play sleep music thing like,,
rev_eb5faaa3-06fa-45fa-87d6-e68135cabd0c,2,2025-12-29T22:19:36,facing connectivity issues in the app.,face connect issu app,,
rev_59d71666-b71f-4829-9979-f70cadd7a0b6,5,2025-12-11T05:17:23,"I usually love Headspace, but the latest update has absolutely broken the sleepcasts, which is infuriating for obvious reasons. Please fix!!",usual love headspac latest updat absolut broken sleepcast infuri obviou reason fix,,
rev_d4587f81-7db6-468b-8008-ecc0f3d9429b,1,2026-01-23T20:43:31,"Latest version is very glitchy- meditations stop playing, even when downloaded. I have to keep reinstalling, and I've a paid subscription.",latest version glitchi medit stop play download reinstal ve paid subscript,,
rev_393a5219-f071-43c2-85c5-26e60c20f9ee,1,2025-12-22T00:31:31,"Not worth it. The entire app is now a pay to play. You cannot listen along without paying for any videos. I used to use this app singularly for the Ebb reflection feature, but they have since gotten rid of it.",worth entir app pay play listen pay video use use app singularli ebb reflect featur gotten rid,,
rev_e9965bf8-8091-4a29-bdfa-0caf1903d2e3,1,2025-10-29T17:19:59,"Meditation classes are great, but the app is full of bugs after the last update, so annoying",medit class great app bug updat annoy,,
rev_2ed19000-ce18-46b7-ba3e-60195c8eecb0,5,2026-01-04T09:57:41,"Very good app, really helpful, as good as Calm, if not better. Less buggy than Calm too. Helps me meditate and calm my anxiety :)",good app realli help good calm better buggi calm help medit calm anxieti,,
rev_0856334b-658f-4ec3-866c-fc7f683ba3fd,2,2025-10-21T22:44:25,The recent updates are causing the app to take forever to load. The user experience has become awful.,recent updat caus app forev load user experi aw,,
rev_5b05d887-0411-44dd-9a55-18e7aab9fad0,1,2026-03-26T17:23:08,"This app is not easy to navigate. If you want to try the free app, it forces you to click free at the same time as subscribe. The 2 are not separate. Then you cancel anytime, another hassle. Try for free is not the way it sounds. Horrible horrible experience.",app easi navig want tri free app forc click free time subscrib separ cancel anytim hassl tri free way sound horribl horribl experi,,
rev_f7d8bb4b-3640-4d8c-a5de-f8d79caa4680,4,2026-02-13T11:18:23,"This app is great for the meditation guidance. I like that you can choose your teacher, and how long or short your practice will be. But, the push to try therapy through Headspace gets annoying, especially when you already HAVE a therapist (not to mention that therapists who contract with apps are very often underpaid). I'd love a way to disable those features.",app great medit guidanc like choos teacher long short practic push tri therapi headspac get annoy especi therapist mention therapist contract app underpaid d love way disabl featur,,
rev_2de226bd-76f0-4b5d-b16d-23dc01e7b566,2,2026-02-24T09:41:26,"Constantly crashing and freezing, despite restarts, reinstalls, and changing settings. Incredibly frustrating to use what used to be a great app. The interface is now very cluttered, and it's harder than ever to find what you're looking for. I'm giving in and switching to an alternative.",constantli crash freez despit restart reinstal chang set incred frustrat use use great app interfac clutter s harder look m give switch altern,,
rev_13056ae5-8673-4519-ae44-cf6f72214223,1,2026-02-05T16:10:24,"EDIT: I used to love this app, see my original review below. But now all the content is paid content. Before the basics were free. Good mental health should be accessible to everyone. Old review: Normally I think meditation is pretty stupid, that on top of the highest mountain rubbish. But I really like this app, helps me sleep at night. Nice to find a down to earth guided meditation",edit use love app origin review content paid content basic free good mental health access old review normal think medit pretti stupid highest mountain rubbish realli like app help sleep night nice earth guid medit,,
rev_024e0f53-5a98-4f5f-b0a1-baff710a886e,1,2026-04-06T12:51:14,"activity history just straight up doesn't work, probably better it does sessions just not logged at all. makes it hard to stay on course and keep track of the correct lesson to do next",activ histori just straight doesn t work probabl better doe session just log make hard stay cours track correct lesson,,
rev_adcd222f-56f2-4409-b775-b2f8950f9376,1,2025-12-10T09:20:33,"Headspace starts well — beginner meditations are simple, clean, and actually teach you breathing and focus. But after that, it’s a paywall hell. Everything worthwhile is locked, making it a glorified wallet vacuum selling “peace of mind” like NFTs. The free part? A sad demo that wouldn’t calm a goldfish. If you don’t fix this, you’ll lose every beginner, and your app will be remembered as the joke that sold Zen like a scammy candy bar. 🔥😡💀, if you removed paywall, just reply to this.",headspac start beginn medit simpl clean actual teach breath focu s paywal hell worthwhil lock make glorifi wallet vacuum sell peac mind like nft free sad demo wouldn t calm goldfish don t fix ll lose beginn app rememb joke sold zen like scammi candi bar remov paywal just repli,,
rev_8383aab7-e70a-47fc-ab86-61de88abd487,2,2026-01-12T00:20:13,"I've been using this app for years and it's been great, but the last few months I haven't been able to get any of my meditations to play longer than a few minutes. Definitely frustrating",ve use app year s great month haven t abl medit play longer minut definit frustrat,,
rev_d75f193f-2aef-411a-8637-f843a2b44c62,1,2026-01-06T10:52:11,"I had loved this app for a while, but about four months ago I stopped my subscription because I was pushed to use Ebb, their AI, so much. At first I had used it, but once I became more educated I felt that the ethics of AI don't align with my meditation goals so I uninstalled. Also, at the time of quitting the app, the glitching menus and inaccurate timing on refreshing my content began to be annoying since it would refresh at night instead of in the morning.",love app month ago stop subscript push use ebb ai use educ felt ethic ai don t align medit goal uninstal time quit app glitch menu inaccur time refresh content began annoy refresh night instead morn,,
rev_3132829e-ba75-48af-9b90-c0d523d3ab76,3,2026-01-26T05:27:51,"the app was great. with the new update meditations, esp. the sleep cast ones are shutting down midway on their own. extremely annoying",app great new updat medit esp sleep cast one shut midway extrem annoy,,
rev_c38ee670-48ec-4708-b1eb-5f66e07017cc,1,2025-12-29T15:09:43,"Just got an email thanking me for my payment. I cancelled the subscription midyear, but somehow I'm still being charged?? Not very relaxing losing money to app I don't use or want.",just got email thank payment cancel subscript midyear m charg relax lose money app don t use want,,
rev_f6d656f7-e68a-4218-9e7d-e8d28dcb850a,4,2025-11-08T00:37:20,"I spend 95% of my time on this app using the sleepscapes, and don't get me wrong, I LOVE them. But after some recent updates, the app has been MUCH slower to load and freezes/fails to load far more often than it did. 5 stars if this could please be fixed :]",spend nineti time app use sleepscap don t wrong love recent updat app slower load freez fail load far did star fix,,
rev_2daac6e8-d54f-444c-9fa3-bc876df3bc0d,2,2026-01-17T13:34:08,"It used to be 5 stars but now it's a 2. Content is still good but the UI change late last year is pretty poor. Normally I don't mind app redesigns. They usually get small improvements and I adjust to the new layout. But the new UI continues to be slow to load. Not just initially but for most pages. Sometimes playback is affected, which is the last thing you want in the middle of a meditation.",use star s content good ui chang late year pretti poor normal don t mind app redesign usual small improv adjust new layout new ui continu slow load just initi page playback affect thing want middl medit,,
rev_4e6f7df7-672d-4de8-a858-6669c24943d3,1,2026-02-08T02:47:22,removed free version completely.,remov free version complet,,
rev_bc45f5d6-ff1f-4c25-8602-c9ee86737aad,2,2026-03-14T08:53:15,love the features. hate that it constantly freezes and crashes,love featur hate constantli freez crash,,
rev_5803dea5-cd98-4463-bc6d-25b30843659a,1,2026-01-21T14:30:56,"works great until it keeps freezing for hours on end, takes minutes to load options, or just blacks out. reached out to support and instead of helping me they offered a refund - very disappointing",work great keep freez hour end take minut load option just black reach support instead help offer refund disappoint,,
rev_31e7f6f4-5e70-4abd-8467-c5788d8f7c3e,1,2025-11-25T19:44:46,"cancelled my subscription 4 months ago, charged me regardless for another year. they wouldn't issue a refund even though I've notified them of the issue within 24h a shame for an app about wellbeing",cancel subscript month ago charg regardless year wouldn t issu refund ve notifi issu fourh shame app wellb,,
rev_e3e22376-104b-447e-9a9f-41e53443c1e8,1,2025-10-26T13:02:09,"App is completely unusable. Whatever I do, it freezes after 10-20 seconds.",app complet unus freez second,,
rev_0cb419c5-25c5-4e6f-9a55-af07750d5526,3,2026-02-11T22:13:22,It's has become extremely slow and clunky. The content is great as always but it's virtually impossible to get to with the sluggish UI that takes forever to render.,s extrem slow clunki content great s virtual imposs sluggish ui take forev render,,
rev_31543988-ed62-402f-beb9-0530c1373247,1,2025-12-16T23:32:48,"Constantly crashes. I use the soundscapes every night for sleep, but now it crashes after a minute or less. It is also slow to load. It's a shame because I really enjoy using it but, currently, it is unusable.",constantli crash use soundscap night sleep crash minut slow load s shame realli enjoy use current unus,,
rev_e0a15d5c-4dd6-4014-94ea-4f28a4d2e299,1,2026-01-19T01:06:01,"app stops working - will play something for about 2 minutes and then just stops. gives me an error message that I went ""offline"" didnt go offline.",app stop work play minut just stop give error messag went offlin didnt offlin,,
rev_48d09379-ee23-4428-a349-982dc2e1e22a,1,2026-03-17T04:28:28,"used to be gold, now bought by Blackstone. bloated, buggy as hell, waste of money. another victim of rampant capitalism...",use gold bought blackston bloat buggi hell wast money victim rampant capit,,
rev_20a1f133-fc7e-44fd-9f16-64cae08f3620,4,2025-11-16T22:01:09,"Active subscription. Home screen stays blank grey. Also, unable to play any of the meditation & other courses. The app has become very buggy. Very disappointing. EDIT : These bugs are removed in the version 4.281.5 & now the app's working fine",activ subscript home screen stay blank grey unabl play medit cours app buggi disappoint edit bug remov version eighti app s work fine,,
rev_225bb1b3-7468-42b6-89e7-f9b5590b2786,1,2025-10-31T02:20:33,"App used to be amazing, but its terrible lately. I have a premium account, which isn't cheap, but I've had it for several years now. I use the Sleepscapes for going to sleep at night, which was the only thing that saved me after insomnia. But recent months, the app has been going downhill. Recents don't update. The heart for favourites are gone. And now for the last week the app won't even load so I can't access anything, not even my account to cancel my recurring payment.",app use amaz terribl late premium account isn t cheap ve year use sleepscap go sleep night thing save insomnia recent month app go downhil recent don t updat heart favourit gone week app won t load t access account cancel recur payment,,
rev_2b709824-255c-4c42-8f6f-45e014259bc6,2,2025-11-14T01:26:42,"2025:a new version of the app and it again feels like unfinished beta. lot of new content, but everything feels unpolished :( 20s freeze on app start like if it was 2008. crashes during meditation. no way to restart a meditation pack from the middle. super long loading times with no network activity. there's a lot of potential here, but maybe some funds should go to Android devs and testing. USA is not the whole world, a lot of ppl out there using Android, even if you are all sitting on iPhones.",thousand new version app feel like unfinish beta lot new content feel unpolish twenti freez app start like thousand crash medit way restart medit pack middl super long load time network activ s lot potenti mayb fund android dev test usa world lot ppl use android sit iphon,,
rev_24138823-e4ce-4fa4-bbb2-cc08bf2354eb,3,2026-03-06T07:49:51,"I've been using the app for years and it has been a great companion to help me focus and ground my mind. Andy has undergone some serious training and is more than qualified to be teaching about meditation and presence and his voice is very soothing which helps a lot. However, for the past months or so, the app stops mid meditation saying there was a problem. My sessions are cut short on an unpredictable basis which basically ruins the experience. I would kindly ask the developers to fix this...",ve use app year great companion help focu ground mind andi undergon train qualifi teach medit presenc voic sooth help lot past month app stop mid medit say problem session cut short unpredict basi basic ruin experi kindli ask develop fix,,
rev_fc9dab6c-9b90-4b28-ba2a-cf55f8882a0b,1,2025-12-14T23:09:17,"loads extremely slowly now, and I don't want Ebb! sitting here waiting over a minute just to tap the next menu in the three I need to open a sleep cast. Meanwhile Ebb has a dedicated button and loads lightning fast, and I'll never use it!!!",load extrem slowli don t want ebb sit wait minut just tap menu need open sleep cast ebb dedic button load lightn fast ll use,,
rev_62170b46-68ef-4685-8d56-e5e59c184eff,1,2025-12-11T21:59:23,"I would have given it 5 stars before it was paywalled but unfortunately, nothing is free except the trial.",given star paywal unfortun free trial,,
rev_b35ce92f-363b-43df-a492-1376daa4481c,1,2025-12-15T14:58:17,can't log in. keeps telling me I already have an account and to log in . which I proceed to do and it repeats itself. I'm locked out in a loop it feels like .,t log keep tell account log proceed repeat m lock loop feel like,,
rev_22a38dc7-b99f-4ace-84bb-3e9cfa48497e,5,2025-10-12T05:22:30,Amazing app. Helps you with keeping up with the practice and giving you the tools you need. Wish I have found it sooner ♡,amaz app help keep practic give tool need wish sooner,,
rev_fda43b1f-de49-4434-a898-2a87245eab37,2,2025-11-12T10:06:56,"this is frustrating, I received an offer for 50% off for the year, I downloaded app and it's requested the full amount. I've sat for ages on chatbot as can't find an email address, as stress and anxiety go, you've added to mine",frustrat receiv offer year download app s request ve sat age chatbot t email address stress anxieti ve ad,,
rev_0aca4c0a-6bf5-4415-9b9f-939607f0e8a7,1,2026-03-10T23:07:44,"I've loved this app for years but unfortunately the sleepcasts have started crashing a few minutes in for the past few months. I've updated the app, made sure to have wifi on, I even bought a new phone thinking it was me but it still happens. Sadly if this doesnt get fixed soon ill have to cancel my subscription and delete the app which I REALLY don't want to do. Please fix this app!",ve love app year unfortun sleepcast start crash minut past month ve updat app sure wifi bought new phone think happen sadli doesnt fix soon ill cancel subscript delet app realli don t want fix app,,
rev_787c6cce-c19a-471f-93ba-efb56582f793,1,2025-11-20T17:42:24,"Used to be great, since the September 2025 update it has become unusable. Google Fit integration no longer works, so useless if using in conjunction with Vitality.",use great septemb thousand updat unus googl fit integr longer work useless use conjunct vital,,
rev_d1230cf5-a3cd-4d59-a338-a0a631c5d49b,1,2026-01-26T20:25:54,"I have had a paid subscription to Headspace for years & it used to be great - but now, like SO many others have reported, the past couple of months the app is horribly glitchy - loads slow, randomly stops during sleep stories and meditations with a message that simply says oh no, something went wrong, or looks like you're offline. This the ONLY app that I'm having any issues with. Customer service is not helpful. Headspace needs to admit there's an issue and step up to fix it.",paid subscript headspac year use great like report past coupl month app horribl glitchi load slow randomli stop sleep stori medit messag simpli say oh went wrong look like offlin app m have issu custom servic help headspac need admit s issu step fix,,
rev_0c555bff-7f21-481b-a43f-c6fd28ce8057,2,2025-10-13T04:47:52,"What did you people do to this app? I've used headspace for years without a problem. After recent UI changes the app is terribly slow, when it opens. It seems like the UI is also dynamic in that depending on what day it is or time of day, the screens you consistently go to have different looks and things are suddenly out of place, making it confusing to use. The app crashes and fails to open all the time. This is just bad work after major updates and it's disappointing.",did peopl app ve use headspac year problem recent ui chang app terribl slow open like ui dynam depend day time day screen consist differ look thing suddenli place make confus use app crash fail open time just bad work major updat s disappoint,,
rev_ef3735a9-1d6b-468e-b95d-355312c9bc91,2,2025-12-24T19:26:59,"usedto be a really good app, now buggy, slow, and crashes continously, use it for the sleep casts, takes forever to load and now fail within minutes telling me i am off line. considering cancelling subscription as the app has become useless",usedto realli good app buggi slow crash contin use sleep cast take forev load fail minut tell line consid cancel subscript app useless,,
rev_d3f397ce-b407-478e-8493-1ce2ef0780b5,2,2025-11-21T14:55:45,"New update has significantly degraded the usability of the app. The Today tab is way too cluttered and needs to be streamlined, load times for meditations are way longer and has frequently required restarting the app due to the app crashing or endless buffering, and the activity history is not saving to my profile. I am missing half of the meditations in my activity I've done over the past month. Significant downgrade in quality overall.",new updat significantli degrad usabl app today tab way clutter need streamlin load time medit way longer frequent requir restart app app crash endless buffer activ histori save profil miss half medit activ ve past month signific downgrad qualiti overal,,
rev_52f7ef78-583d-4964-a6a3-782b3744d9d3,2,2025-12-02T04:48:43,"Very chaotic design. Very difficult to navigate what the app offers, very difficult to find and continue the programs you started. That's everything a meditation app should not be.",chaotic design difficult navig app offer difficult continu program start s medit app,,
rev_2d4cf215-9235-488b-939f-26877adad725,1,2025-12-18T13:12:40,"No longer usable. I used to use the app several times a week, but recently there are so many bugs that it is impossible to use. App loads slowly, pages are not possible to navigate between (tap on another page and the same page just reloads), and when you finally get into a meditation it will stop after a couple of minutes with an error message.",longer usabl use use app time week recent bug imposs use app load slowli page possibl navig tap page page just reload final medit stop coupl minut error messag,,
rev_ef8dc5c0-265f-4722-876c-8c2b8d35dbea,3,2026-03-03T08:47:53,"I enjoy the meditations and exercises, but the app seems to have a hard time consistently loading. I've had to restart my phone three or four times so far in order to get the app to load properly. not the most calming experience.",enjoy medit exercis app hard time consist load ve restart phone time far order app load properli calm experi,,
rev_33aea602-d421-4eb9-b272-82b3254c4cf5,2,2025-11-07T00:32:35,"Really slow to load, pretty unimpressed how the quality of the user interface has gone down over the last year or so. No longer worth the subscription in my opinion.",realli slow load pretti unimpress qualiti user interfac gone year longer worth subscript opinion,,
rev_afece2e2-a151-47d1-aecc-de0e9a4cb487,1,2025-11-06T12:18:16,I'm on my phone if thats not enough verification i choose not to do this. I do not need to go get another device to meditate. thanks anyway,m phone that verif choos need devic medit thank,,
rev_3c40da7f-c550-498a-a385-4b03018d2583,2,2026-01-13T18:02:21,Last 3 months app been glitching very badly and saying that I am not online when I am. I have forced stop and cleared cache and still the app won't play. I've paid for a 2nd year to have full access. I am not impressed and hope that this can be resolved ASAP!,month app glitch badli say onlin forc stop clear cach app won t play ve paid twond year access impress hope resolv asap,,
